date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:31	4706/4706	---M--	200	added ('OK')	image/jpeg	etag:%22e3fc2d2fce14b7d2a7c2a6ebc0d9b40c-ssl%22	https://mimity31.netlify.com/images/product/polo2-small.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo2-small.jpg	(from https://mimity31.netlify.com/)
15:43:31	4054/4054	---M--	200	added ('OK')	image/jpeg	etag:%2246a90dfc4576405f3456f14c86fb48de-ssl%22	https://mimity31.netlify.com/images/product/polo3-small.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo3-small.jpg	(from https://mimity31.netlify.com/)
15:43:31	4178/4178	---M--	200	added ('OK')	image/jpeg	etag:%22ba2a0b7edf840af74bb64e17197257f4-ssl%22	https://mimity31.netlify.com/images/product/polo4-small.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo4-small.jpg	(from https://mimity31.netlify.com/)
15:43:31	49578/49578	---M--	200	added ('OK')	image/jpeg	etag:%2240eace3d2820ad145a554979f286eb5b-ssl%22	https://mimity31.netlify.com/images/product/type-polo.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/type-polo.jpg	(from https://mimity31.netlify.com/)
15:43:32	16209/16209	---M--	200	added ('OK')	image/jpeg	etag:%2255cc54ee4603cc1d0ec25fc2212491a0-ssl%22	https://mimity31.netlify.com/images/product/mega-menu.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/mega-menu.jpg	(from https://mimity31.netlify.com/)
15:43:32	49050/49050	---M--	200	added ('OK')	image/jpeg	etag:%226e7a2132091763b1af36a97f198307b0-ssl%22	https://mimity31.netlify.com/images/product/type-hooded.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/type-hooded.jpg	(from https://mimity31.netlify.com/)
15:43:32	18390/18390	---M--	200	added ('OK')	image/jpeg	etag:%22b89edc6bbd94b5c99590a0fae9fe4109-ssl%22	https://mimity31.netlify.com/images/product/type-round.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/type-round.jpg	(from https://mimity31.netlify.com/)
15:43:32	28157/28157	---M--	200	added ('OK')	image/jpeg	etag:%22cd3e2cba05d081998c634ce39e739351-ssl%22	https://mimity31.netlify.com/images/product/type-vneck.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/type-vneck.jpg	(from https://mimity31.netlify.com/)
15:43:32	15227/15227	---M--	200	added ('OK')	image/jpeg	etag:%222968618e706db60789751b5a296e8271-ssl%22	https://mimity31.netlify.com/images/product/polo1.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo1.jpg	(from https://mimity31.netlify.com/)
15:43:33	19162/19162	---M--	200	added ('OK')	image/jpeg	etag:%22ba5b21d20e9c5f1f0b7ad5ad4ff10947-ssl%22	https://mimity31.netlify.com/images/product/polo2.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo2.jpg	(from https://mimity31.netlify.com/)
15:43:33	16082/16082	---M--	200	added ('OK')	image/jpeg	etag:%22baf27d0006a84d3cc6ee3e80f52e51e4-ssl%22	https://mimity31.netlify.com/images/product/polo3.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo3.jpg	(from https://mimity31.netlify.com/)
15:43:33	14992/14992	---M--	200	added ('OK')	image/jpeg	etag:%22735b2fc6bade9bd391dad62ffc436c6d-ssl%22	https://mimity31.netlify.com/images/product/polo4.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo4.jpg	(from https://mimity31.netlify.com/)
15:43:33	14129/14129	---M--	200	added ('OK')	image/jpeg	etag:%22a594de8fda97cb456948b33b60e7ce3a-ssl%22	https://mimity31.netlify.com/images/product/polo5.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo5.jpg	(from https://mimity31.netlify.com/)
15:43:33	12839/12839	---M--	200	added ('OK')	image/jpeg	etag:%220df56a3f08ed18056d07b8383e719698-ssl%22	https://mimity31.netlify.com/images/product/vneck1.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/vneck1.jpg	(from https://mimity31.netlify.com/)
15:43:34	13002/13002	---M--	200	added ('OK')	image/jpeg	etag:%22f68bdff4c11c33d0317aa8ae7d618f3c-ssl%22	https://mimity31.netlify.com/images/product/vneck2.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/vneck2.jpg	(from https://mimity31.netlify.com/)
15:43:34	15183/15183	---M--	200	added ('OK')	image/jpeg	etag:%2292145a8c2a5eee385b2e0eff63742494-ssl%22	https://mimity31.netlify.com/images/product/vneck3.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/vneck3.jpg	(from https://mimity31.netlify.com/)
15:43:34	13388/13388	---M--	200	added ('OK')	image/jpeg	etag:%229fee113f040a2795433197437d706fca-ssl%22	https://mimity31.netlify.com/images/product/vneck5.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/vneck5.jpg	(from https://mimity31.netlify.com/)
15:43:34	15987/15987	---M--	200	added ('OK')	image/jpeg	etag:%22e71e66ae18b8b5768f37ed5e1b647c89-ssl%22	https://mimity31.netlify.com/images/product/vneck4.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/vneck4.jpg	(from https://mimity31.netlify.com/)
15:43:34	18764/18764	---M--	200	added ('OK')	image/jpeg	etag:%222aec5eaea125a0477e7cf8a2a54d9c1b-ssl%22	https://mimity31.netlify.com/images/product/vneck6.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/vneck6.jpg	(from https://mimity31.netlify.com/)
15:43:35	3118/3118	---M--	200	added ('OK')	image/png	etag:%228b93bae64cacdc5accbd149ac66cae11-ssl%22	https://mimity31.netlify.com/images/brand/brand1.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/brand/brand1.png	(from https://mimity31.netlify.com/)
15:43:35	2402/2402	---M--	200	added ('OK')	image/png	etag:%227fc0a71e98990e3c48650059cded495b-ssl%22	https://mimity31.netlify.com/images/brand/brand2.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/brand/brand2.png	(from https://mimity31.netlify.com/)
15:43:35	1863/1863	---M--	200	added ('OK')	image/png	etag:%223e35f0b34fa9dfa53301f4c8289b92ad-ssl%22	https://mimity31.netlify.com/images/brand/brand3.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/brand/brand3.png	(from https://mimity31.netlify.com/)
15:43:35	2081/2081	---M--	200	added ('OK')	image/png	etag:%227801f53c2c8a235721df279e13c5dddf-ssl%22	https://mimity31.netlify.com/images/brand/brand4.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/brand/brand4.png	(from https://mimity31.netlify.com/)
15:43:35	2006/2006	---M--	200	added ('OK')	image/png	etag:%22a882d81cb7ccdc9b542a2d510420aea0-ssl%22	https://mimity31.netlify.com/images/brand/brand5.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/brand/brand5.png	(from https://mimity31.netlify.com/)
15:43:36	1717/1717	---M--	200	added ('OK')	image/png	etag:%229a8a8fc74a776a8637934002dc45802b-ssl%22	https://mimity31.netlify.com/images/payment-1.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/payment-1.png	(from https://mimity31.netlify.com/)
15:43:36	1843/1843	---M--	200	added ('OK')	image/png	etag:%22d24bd66e0d25a910afd924bab77ebfbf-ssl%22	https://mimity31.netlify.com/images/payment-2.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/payment-2.png	(from https://mimity31.netlify.com/)
15:43:36	1803/1803	---M--	200	added ('OK')	image/png	etag:%225e287aeffa648fd5445114d36fc62627-ssl%22	https://mimity31.netlify.com/images/payment-3.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/payment-3.png	(from https://mimity31.netlify.com/)
15:43:37	1815/1815	---M--	200	added ('OK')	image/png	etag:%226aed6cac74fd6c71dd949248a4a2c15c-ssl%22	https://mimity31.netlify.com/images/payment-4.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/payment-4.png	(from https://mimity31.netlify.com/)
15:43:37	1697/1697	---M--	200	added ('OK')	image/png	etag:%22aff5a2821a7441a2ac5792f146027251-ssl%22	https://mimity31.netlify.com/images/payment-5.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/payment-5.png	(from https://mimity31.netlify.com/)
15:43:37	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2240d5f29aaf9987cd6cc2e647a2972a5e-ssl-df%22	https://mimity31.netlify.com/js/jquery-3.2.1.min.js	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/js/jquery-3.2.1.min.js	(from https://mimity31.netlify.com/)
